,Name,Genre,Revenue,Director,Tomatometer,Audience
1218,Hannah Gadsby's Gender Agenda,"Comedy, Stand-up",,Julian Smith,nan,29
1219,The Troubles: A Dublin Story,"Drama, Crime, Mystery & thriller",,Luke Hanlon,nan,nan
1220,Bella,"Documentary, Biography",,Bridget Murnane,nan,nan
1221,Ricky Stanicky,"Comedy, Fantasy",,Peter Farrelly,47,71
1222,Damsel,"Fantasy, Adventure, Action",,Juan Carlos Fresnadillo,59,73
1223,5lbs of Pressure,Mystery & thriller,,Phil Allocco,67,75
1224,Space: The Longest Goodbye,Documentary,,Ido Mizrahy,77,nan
1225,American Dreamer,"Comedy, Drama",,Paul Dektor,42,71
1226,Night Shift,"Horror, Mystery & thriller",,Benjamin China,2,96
1227,The Piper,Horror,,Erlingur Thoroddsen,nan,nan
1228,Spaceman,"Sci-fi, Adventure, Drama",,Johan Renck,53,65
1229,Poor Things,"Comedy, Drama, Romance, Sci-fi",$33.5M,Yorgos Lanthimos,92,79
1230,Megamind vs. the Doom Syndicate,"Kids & family, Comedy, Adventure, Animation",,Eric Fogel,,7
1231,Dune,"Sci-fi, Adventure, Action, Fantasy, Drama",$108.3M,Denis Villeneuve,83,9
1232,The Zone of Interest,"History, Drama, War",$7.7M,Jonathan Glazer,93,78
1233,Wonka,"Kids & family, Musical, Comedy, Fantasy",$82.5M,Paul King,82,91
1234,Anatomy of a Fall,"Mystery & thriller, Crime, Drama",$4.9M,Justine Triet,96,9
1235,American Fiction,"Comedy, Drama",$20.6M,Cord Jefferson,93,96
1236,All of Us Strangers,"Romance, Drama, Fantasy",$4.0M,Andrew Haigh,96,91
1237,The Gentlemen,"Crime, Drama, Comedy",$36.5M,Guy Ritchie,75,84
1238,Code 8,Sci-fi,,Jeff Chan,81,62
1239,Anyone But You,"Romance, Comedy",$87.8M,Will Gluck,54,87
1240,Monster,"Drama, Mystery & thriller",$434.6K,Hirokazu Koreeda,96,91
1241,Napoleon,"Biography, History, Drama, War, Action",$61.2M,Ridley Scott,58,59
1242,The Holdovers,"Holiday, Comedy, Drama",$20.2M,Alexander Payne,97,92
1243,Killers of the Flower Moon,"Crime, Drama",$67.9M,Martin Scorsese,93,84
1244,The Beekeeper,"Action, Mystery & thriller",$64.9M,David Ayer,71,92
1245,Kung Fu Panda 3,"Kids & family, Comedy, Adventure, Animation",$143.5M,Jennifer Yuh Nelson,87,79
1246,Past Lives,"Romance, Drama",$9.9M,Celine Song,95,84
1247,Oppenheimer,"Biography, History, Drama",$329.1M,Christopher Nolan,93,91
1248,Aquaman and the Lost Kingdom,"Action, Adventure, Fantasy",$124.4M,James Wan,34,81
1249,Mean Girls,"Musical, Comedy",$72.4M,Samantha Jayne,7,62
1250,Out of Darkness,"Horror, Mystery & thriller",$1.9M,Andrew Cumming,85,54
1251,Code 8: Part II,"Action, Sci-fi",,Jeff Chan,67,64
1252,Five Nights at Freddy's,"Horror, Mystery & thriller",$137.3M,Emma Tammi,32,87
1253,Kung Fu Panda,"Kids & family, Comedy, Adventure, Animation",$143.5M,John Stevenson,87,83
1254,Rebel Moon: Part One - A Child of Fire,"Sci-fi, Action, Adventure, Drama, Fantasy",,Zack Snyder,21,58
1255,Leave the World Behind,"Mystery & thriller, Drama",,Sam Esmail,75,35
1256,Labyrinth,Fantasy,$12.1M,Jim Henson,77,86
1257,Maestro,"Biography, Drama, Romance, Music, Lgbtq+",,Bradley Cooper,79,58
1258,The Iron Claw,"Drama, Action, Biography, Sports",$34.7M,Sean Durkin,89,94
1259,The Promised Land,"History, Drama",$256.3K,Nikolaj Arcel,96,94
1260,Lisa Frankenstein,"Horror, Romance, Comedy",$9.7M,Zelda Williams,51,82
1261,Kung Fu Panda 2,"Kids & family, Comedy, Adventure, Animation",,Jennifer Yuh Nelson,81,74
1262,Dune,"Sci-fi, Adventure",,David Lynch,37,65
1263,Migration,"Kids & family, Comedy, Adventure, Animation",$123.5M,Benjamin Renner,73,88
1264,Double Blind,"Horror, Mystery & thriller",,Ian Hunt-Duffy,1,77
1265,Megamind,"Kids & family, Comedy, Adventure, Animation",$148.3M,Tom McGrath,73,72
1266,Saltburn,"Comedy, Drama, Mystery & thriller",$11.4M,Emerald Fennell,71,79
1267,Priscilla,"Drama, Romance, Biography, Music",$20.2M,Sofia Coppola,84,63
1268,Mea Culpa,"Crime, Drama, Mystery & thriller",,Tyler Perry,26,37
1269,Barbie,Comedy,$636.2M,Greta Gerwig,88,83
1270,The Creator,"Sci-fi, Action, Adventure",$40.8M,Gareth Edwards,67,76
1271,The Marvels,"Action, Adventure, Fantasy",$84.5M,Nia DaCosta,62,82
1272,This Is Me... Now: A Love Story,Musical,,Dave Meyers,75,81
1273,The Last Airbender,"Fantasy, Adventure",$131.6M,M. Night Shyamalan,5,3
1274,Ferrari,Drama,$18.5M,Michael Mann,72,74
1275,May December,"Drama, Romance",,Todd Haynes,9,66
1276,The Hunger Games: The Ballad of Songbirds & Snakes,"Action, Adventure, Sci-fi",$166.3M,Francis Lawrence,64,89
1277,Everything Everywhere All at Once,"Comedy, Adventure, Sci-fi, Fantasy",$76.7M,Dan Kwan,94,86
1278,Marlowe,"Mystery & thriller, Crime",,Neil Jordan,26,37
1279,Thanksgiving,"Holiday, Horror, Mystery & thriller, Comedy",$31.9M,Eli Roth,84,8
1280,Upgraded,"Romance, Comedy",,Carlson Young,77,67
1281,Society of the Snow,"Drama, Adventure, Biography",,J. A. Bayona,9,87
1282,Wish,"Kids & family, Fantasy, Adventure, Comedy, Animation, Musical",$63.9M,Chris Buck,48,81
1283,Talk to Me,"Horror, Mystery & thriller",$47.6M,Danny Philippou,95,82
1284,Yesterday,"Romance, Comedy, Music",$73.2M,Danny Boyle,63,89
1285,Damsel,"Comedy, Western",$282.8K,David Zellner,68,53
1286,BlackBerry,"Comedy, Drama, History",$1.5M,Matt Johnson,98,94
1287,Dream Scenario,"Comedy, Drama, Mystery & thriller, Horror",$4.9M,Kristoffer Borgli,92,68
1288,Scrambled,Comedy,$422.5K,Leah McKendrick,94,91
1289,Puss in Boots: The Last Wish,"Kids & family, Comedy, Adventure, Animation",$185.5M,Joel Crawford,95,94
1290,Reptile,"Crime, Drama",,Grant Singer,45,7
1291,Orion and the Dark,"Kids & family, Comedy, Animation",,Sean Charmatz,91,61
1292,The Boys in the Boat,"History, Drama, Biography, Sports",$52.5M,George Clooney,58,97
1293,Blade Runner 2049,"Sci-fi, Mystery & thriller",$91.5M,Denis Villeneuve,88,88
1294,The Killer,"Mystery & thriller, Action, Adventure, Crime",,David Fincher,86,61
1295,"Lover, Stalker, Killer","Crime, Documentary",,Sam Hobkinson,1,83
1296,X,"Horror, Mystery & thriller",$11.6M,Ti West,94,75
1297,Nyad,"Biography, Drama",,Elizabeth Chai Vasarhelyi,85,88
1298,When Evil Lurks,Horror,$544.7K,Demián Rugna,97,8
1299,His House,"Horror, Mystery & thriller",,Remi Weekes,1,73
1300,Arrival,"Sci-fi, Mystery & thriller, Drama",$100.5M,Denis Villeneuve,94,82
1301,Don't Worry Darling,Mystery & thriller,$45.3M,Olivia Wilde,38,74
1302,The Wonderful Story of Henry Sugar,"Comedy, Adventure, Short",,Wes Anderson,96,81
1303,Interstellar,"Sci-fi, Adventure, Action",$188.0M,Christopher Nolan,73,86
1304,Avatar: The Way of Water,"Sci-fi, Adventure, Action, Fantasy",$684.1M,James Cameron,76,92
1305,Spider-Man: Across the Spider-Verse,"Kids & family, Action, Adventure, Comedy, Fantasy, Animation",$381.2M,Joaquim Dos Santos,95,94
1306,Voyagers,"Sci-fi, Mystery & thriller, Adventure",,Neil Burger,25,55
1307,Mission: Impossible - Dead Reckoning Part One,"Action, Adventure, Mystery & thriller",$172.0M,Christopher McQuarrie,96,94
1308,The Batman,"Action, Adventure, Crime, Drama",$369.3M,Matt Reeves,85,87
1309,The Super Mario Bros. Movie,"Kids & family, Comedy, Adventure, Animation",$574.9M,Aaron Horvath,59,95
1310,Red Right Hand,"Action, Mystery & thriller",$29.3K,Eshom Nelms,44,8
1311,The Marsh King's Daughter,"Mystery & thriller, Drama",$1.8M,Neil Burger,41,73
1312,No Hard Feelings,"Romance, Comedy",$50.2M,Gene Stupnitsky,7,87
1313,Night Swim,"Horror, Mystery & thriller",$32.3M,Bryce McGuire,22,43
1314,Sicario,"Mystery & thriller, Crime, Drama, Action",$46.9M,Denis Villeneuve,92,85
1315,The Favourite,"Comedy, Drama",$34.2M,Yorgos Lanthimos,93,7
1316,Marcel the Shell with Shoes On,"Kids & family, Comedy, Animation",$5.7M,Dean Fleischer-Camp,98,9
1317,No Way Up,"Action, Adventure, Mystery & thriller",$148.6K,Claudio Fäh,3,nan
1318,Monolith,"Sci-fi, Mystery & thriller",,Matt Vesely,88,6
1319,Noah,"History, Drama, Adventure, Fantasy",$101.2M,Darren Aronofsky,75,41
1320,Annihilation,"Sci-fi, Adventure, Mystery & thriller",$32.7M,Alex Garland,88,67
1321,Dumb Money,"Comedy, Drama",$13.8M,Craig Gillespie,84,85
1322,The Gift,Mystery & thriller,$43.8M,Joel Edgerton,91,75
1323,Memory,Drama,$378.7K,Michel Franco,84,73
1324,You Hurt My Feelings,"Comedy, Drama, Romance",$3.8M,Nicole Holofcener,94,64
1325,Indiana Jones and the Dial of Destiny,"Adventure, Action",$174.5M,James Mangold,7,88
1326,The Menu,"Horror, Mystery & thriller, Comedy",$38.5M,Mark Mylod,88,76
1327,Lady Bird,"Comedy, Drama",$48.9M,Greta Gerwig,99,79
1328,High Life,"Sci-fi, Mystery & thriller, Adventure",$1.2M,Claire Denis,82,42
1329,Freelance,"Action, Comedy",$5.3M,Pierre Morel,6,76
1330,Avengers: Endgame,"Action, Adventure, Fantasy, Sci-fi",$858.4M,Anthony Russo,94,9
1331,Strays,Comedy,$23.9M,Josh Greenbaum,53,69
1332,Next Goal Wins,"Comedy, Sports",$6.7M,Taika Waititi,45,84
1333,Lift,"Action, Comedy, Crime, Drama",,F. Gary Gray,29,32
1334,Turning Red,"Kids & family, Comedy, Fantasy, Animation",$1.3M,Domee Shi,95,68
1335,Argylle,"Action, Adventure, Comedy, Drama, Mystery & thriller",$44.0M,Matthew Vaughn,33,72
1336,Perfect Days,Drama,$2.1M,Wim Wenders,96,91
1337,Before I Change My Mind,"Drama, Comedy",,Trevor Anderson,1,38
1338,Hannah Gadsby's Gender Agenda,"Comedy, Stand-up",,Julian Smith,nan,29
1339,The Troubles: A Dublin Story,"Drama, Crime, Mystery & thriller",,Luke Hanlon,nan,nan
1340,Bella,"Documentary, Biography",,Bridget Murnane,nan,nan
1341,Ricky Stanicky,"Comedy, Fantasy",,Peter Farrelly,47,71
1342,Damsel,"Fantasy, Adventure, Action",,Juan Carlos Fresnadillo,59,74
1343,5lbs of Pressure,Mystery & thriller,,Phil Allocco,67,75
1344,Space: The Longest Goodbye,Documentary,,Ido Mizrahy,77,nan
1345,American Dreamer,"Comedy, Drama",,Paul Dektor,42,71
1346,Night Shift,"Horror, Mystery & thriller",,Benjamin China,2,96
1347,The Piper,Horror,,Erlingur Thoroddsen,nan,nan
1348,Spaceman,"Sci-fi, Adventure, Drama",,Johan Renck,53,65
1349,Poor Things,"Comedy, Drama, Romance, Sci-fi",$33.5M,Yorgos Lanthimos,92,79
1350,Megamind vs. the Doom Syndicate,"Kids & family, Comedy, Adventure, Animation",,Eric Fogel,,7
1351,Dune,"Sci-fi, Adventure, Action, Fantasy, Drama",$108.3M,Denis Villeneuve,83,9
1352,The Zone of Interest,"History, Drama, War",$7.7M,Jonathan Glazer,93,78
1353,Wonka,"Kids & family, Musical, Comedy, Fantasy",$82.5M,Paul King,82,91
1354,Anatomy of a Fall,"Mystery & thriller, Crime, Drama",$4.9M,Justine Triet,96,9
1355,American Fiction,"Comedy, Drama",$20.6M,Cord Jefferson,93,96
1356,All of Us Strangers,"Romance, Drama, Fantasy",$4.0M,Andrew Haigh,96,91
1357,The Gentlemen,"Crime, Drama, Comedy",$36.5M,Guy Ritchie,75,84
1358,Code 8,Sci-fi,,Jeff Chan,81,62
1359,Anyone But You,"Romance, Comedy",$87.8M,Will Gluck,54,87
1360,Monster,"Drama, Mystery & thriller",$434.6K,Hirokazu Koreeda,96,91
1361,Napoleon,"Biography, History, Drama, War, Action",$61.2M,Ridley Scott,58,59
1362,The Holdovers,"Holiday, Comedy, Drama",$20.2M,Alexander Payne,97,92
1363,Killers of the Flower Moon,"Crime, Drama",$67.9M,Martin Scorsese,93,84
1364,The Beekeeper,"Action, Mystery & thriller",$64.9M,David Ayer,71,92
1365,Kung Fu Panda 3,"Kids & family, Comedy, Adventure, Animation",$143.5M,Jennifer Yuh Nelson,87,79
1366,Past Lives,"Romance, Drama",$9.9M,Celine Song,95,84
1367,Oppenheimer,"Biography, History, Drama",$329.1M,Christopher Nolan,93,91
1368,Aquaman and the Lost Kingdom,"Action, Adventure, Fantasy",$124.4M,James Wan,34,81
1369,Mean Girls,"Musical, Comedy",$72.4M,Samantha Jayne,7,62
1370,Out of Darkness,"Horror, Mystery & thriller",$1.9M,Andrew Cumming,85,54
1371,Code 8: Part II,"Action, Sci-fi",,Jeff Chan,67,64
1372,Five Nights at Freddy's,"Horror, Mystery & thriller",$137.3M,Emma Tammi,32,87
1373,Kung Fu Panda,"Kids & family, Comedy, Adventure, Animation",$143.5M,John Stevenson,87,83
1374,Rebel Moon: Part One - A Child of Fire,"Sci-fi, Action, Adventure, Drama, Fantasy",,Zack Snyder,21,58
1375,Leave the World Behind,"Mystery & thriller, Drama",,Sam Esmail,75,35
1376,Labyrinth,Fantasy,$12.1M,Jim Henson,77,86
1377,Maestro,"Biography, Drama, Romance, Music, Lgbtq+",,Bradley Cooper,79,58
1378,The Iron Claw,"Drama, Action, Biography, Sports",$34.7M,Sean Durkin,89,94
1379,The Promised Land,"History, Drama",$256.3K,Nikolaj Arcel,96,94
1380,Lisa Frankenstein,"Horror, Romance, Comedy",$9.7M,Zelda Williams,51,82
1381,Kung Fu Panda 2,"Kids & family, Comedy, Adventure, Animation",,Jennifer Yuh Nelson,81,74
1382,Dune,"Sci-fi, Adventure",,David Lynch,37,65
1383,Migration,"Kids & family, Comedy, Adventure, Animation",$123.5M,Benjamin Renner,73,88
1384,Double Blind,"Horror, Mystery & thriller",,Ian Hunt-Duffy,1,77
1385,Megamind,"Kids & family, Comedy, Adventure, Animation",$148.3M,Tom McGrath,73,72
1386,Saltburn,"Comedy, Drama, Mystery & thriller",$11.4M,Emerald Fennell,71,79
1387,Priscilla,"Drama, Romance, Biography, Music",$20.2M,Sofia Coppola,84,63
1388,Mea Culpa,"Crime, Drama, Mystery & thriller",,Tyler Perry,26,37
1389,Barbie,Comedy,$636.2M,Greta Gerwig,88,83
1390,The Creator,"Sci-fi, Action, Adventure",$40.8M,Gareth Edwards,67,76
1391,The Marvels,"Action, Adventure, Fantasy",$84.5M,Nia DaCosta,62,82
1392,This Is Me... Now: A Love Story,Musical,,Dave Meyers,75,81
1393,The Last Airbender,"Fantasy, Adventure",$131.6M,M. Night Shyamalan,5,3
1394,Ferrari,Drama,$18.5M,Michael Mann,72,74
1395,May December,"Drama, Romance",,Todd Haynes,9,66
1396,The Hunger Games: The Ballad of Songbirds & Snakes,"Action, Adventure, Sci-fi",$166.3M,Francis Lawrence,64,89
1397,Everything Everywhere All at Once,"Comedy, Adventure, Sci-fi, Fantasy",$76.7M,Dan Kwan,94,86
1398,Marlowe,"Mystery & thriller, Crime",,Neil Jordan,26,37
1399,Thanksgiving,"Holiday, Horror, Mystery & thriller, Comedy",$31.9M,Eli Roth,84,8
1400,Upgraded,"Romance, Comedy",,Carlson Young,77,67
1401,Society of the Snow,"Drama, Adventure, Biography",,J. A. Bayona,9,87
1402,Wish,"Kids & family, Fantasy, Adventure, Comedy, Animation, Musical",$63.9M,Chris Buck,48,81
1403,Talk to Me,"Horror, Mystery & thriller",$47.6M,Danny Philippou,95,82
1404,Yesterday,"Romance, Comedy, Music",$73.2M,Danny Boyle,63,89
1405,Damsel,"Comedy, Western",$282.8K,David Zellner,68,53
1406,BlackBerry,"Comedy, Drama, History",$1.5M,Matt Johnson,98,94
1407,Dream Scenario,"Comedy, Drama, Mystery & thriller, Horror",$4.9M,Kristoffer Borgli,92,68
1408,Scrambled,Comedy,$422.5K,Leah McKendrick,94,91
1409,Puss in Boots: The Last Wish,"Kids & family, Comedy, Adventure, Animation",$185.5M,Joel Crawford,95,94
1410,Reptile,"Crime, Drama",,Grant Singer,45,7
1411,Orion and the Dark,"Kids & family, Comedy, Animation",,Sean Charmatz,91,61
1412,The Boys in the Boat,"History, Drama, Biography, Sports",$52.5M,George Clooney,58,97
1413,Blade Runner 2049,"Sci-fi, Mystery & thriller",$91.5M,Denis Villeneuve,88,88
1414,The Killer,"Mystery & thriller, Action, Adventure, Crime",,David Fincher,86,61
1415,"Lover, Stalker, Killer","Crime, Documentary",,Sam Hobkinson,1,83
1416,X,"Horror, Mystery & thriller",$11.6M,Ti West,94,75
1417,Nyad,"Biography, Drama",,Elizabeth Chai Vasarhelyi,85,88
1418,When Evil Lurks,Horror,$544.7K,Demián Rugna,97,8
1419,His House,"Horror, Mystery & thriller",,Remi Weekes,1,73
1420,Arrival,"Sci-fi, Mystery & thriller, Drama",$100.5M,Denis Villeneuve,94,82
1421,Don't Worry Darling,Mystery & thriller,$45.3M,Olivia Wilde,38,74
1422,The Wonderful Story of Henry Sugar,"Comedy, Adventure, Short",,Wes Anderson,96,81
1423,Interstellar,"Sci-fi, Adventure, Action",$188.0M,Christopher Nolan,73,86
1424,Avatar: The Way of Water,"Sci-fi, Adventure, Action, Fantasy",$684.1M,James Cameron,76,92
1425,Spider-Man: Across the Spider-Verse,"Kids & family, Action, Adventure, Comedy, Fantasy, Animation",$381.2M,Joaquim Dos Santos,95,94
1426,Voyagers,"Sci-fi, Mystery & thriller, Adventure",,Neil Burger,25,55
1427,Mission: Impossible - Dead Reckoning Part One,"Action, Adventure, Mystery & thriller",$172.0M,Christopher McQuarrie,96,94
1428,The Batman,"Action, Adventure, Crime, Drama",$369.3M,Matt Reeves,85,87
1429,The Super Mario Bros. Movie,"Kids & family, Comedy, Adventure, Animation",$574.9M,Aaron Horvath,59,95
1430,Red Right Hand,"Action, Mystery & thriller",$29.3K,Eshom Nelms,44,8
1431,The Marsh King's Daughter,"Mystery & thriller, Drama",$1.8M,Neil Burger,41,73
1432,No Hard Feelings,"Romance, Comedy",$50.2M,Gene Stupnitsky,7,87
1433,Night Swim,"Horror, Mystery & thriller",$32.3M,Bryce McGuire,22,43
1434,Sicario,"Mystery & thriller, Crime, Drama, Action",$46.9M,Denis Villeneuve,92,85
1435,The Favourite,"Comedy, Drama",$34.2M,Yorgos Lanthimos,93,7
1436,Marcel the Shell with Shoes On,"Kids & family, Comedy, Animation",$5.7M,Dean Fleischer-Camp,98,9
1437,No Way Up,"Action, Adventure, Mystery & thriller",$148.6K,Claudio Fäh,3,nan
1438,Monolith,"Sci-fi, Mystery & thriller",,Matt Vesely,88,6
1439,Noah,"History, Drama, Adventure, Fantasy",$101.2M,Darren Aronofsky,75,41
1440,Annihilation,"Sci-fi, Adventure, Mystery & thriller",$32.7M,Alex Garland,88,67
1441,Dumb Money,"Comedy, Drama",$13.8M,Craig Gillespie,84,85
1442,The Gift,Mystery & thriller,$43.8M,Joel Edgerton,91,75
1443,Memory,Drama,$378.7K,Michel Franco,84,73
1444,You Hurt My Feelings,"Comedy, Drama, Romance",$3.8M,Nicole Holofcener,94,64
1445,Indiana Jones and the Dial of Destiny,"Adventure, Action",$174.5M,James Mangold,7,88
1446,The Menu,"Horror, Mystery & thriller, Comedy",$38.5M,Mark Mylod,88,76
1447,Lady Bird,"Comedy, Drama",$48.9M,Greta Gerwig,99,79
1448,High Life,"Sci-fi, Mystery & thriller, Adventure",$1.2M,Claire Denis,82,42
1449,Freelance,"Action, Comedy",$5.3M,Pierre Morel,6,76
1450,Avengers: Endgame,"Action, Adventure, Fantasy, Sci-fi",$858.4M,Anthony Russo,94,9
1451,Strays,Comedy,$23.9M,Josh Greenbaum,53,69
1452,Next Goal Wins,"Comedy, Sports",$6.7M,Taika Waititi,45,84
1453,Lift,"Action, Comedy, Crime, Drama",,F. Gary Gray,29,32
1454,Turning Red,"Kids & family, Comedy, Fantasy, Animation",$1.3M,Domee Shi,95,68
1455,Argylle,"Action, Adventure, Comedy, Drama, Mystery & thriller",$44.0M,Matthew Vaughn,33,72
1456,Perfect Days,Drama,$2.1M,Wim Wenders,96,91
1457,Before I Change My Mind,"Drama, Comedy",,Trevor Anderson,1,38
1458,Hannah Gadsby's Gender Agenda,"Comedy, Stand-up",,Julian Smith,nan,29
1459,The Troubles: A Dublin Story,"Drama, Crime, Mystery & thriller",,Luke Hanlon,nan,nan
1460,Bella,"Documentary, Biography",,Bridget Murnane,nan,nan
1461,Ricky Stanicky,"Comedy, Fantasy",,Peter Farrelly,47,71
1462,Damsel,"Fantasy, Adventure, Action",,Juan Carlos Fresnadillo,59,73
1463,5lbs of Pressure,Mystery & thriller,,Phil Allocco,67,75
1464,Space: The Longest Goodbye,Documentary,,Ido Mizrahy,77,nan
1465,American Dreamer,"Comedy, Drama",,Paul Dektor,42,71
1466,Night Shift,"Horror, Mystery & thriller",,Benjamin China,2,96
1467,The Piper,Horror,,Erlingur Thoroddsen,nan,nan
1468,Spaceman,"Sci-fi, Adventure, Drama",,Johan Renck,53,65
1469,Poor Things,"Comedy, Drama, Romance, Sci-fi",$33.5M,Yorgos Lanthimos,92,79
1470,Megamind vs. the Doom Syndicate,"Kids & family, Comedy, Adventure, Animation",,Eric Fogel,,7
1471,Dune,"Sci-fi, Adventure, Action, Fantasy, Drama",$108.3M,Denis Villeneuve,83,9
1472,The Zone of Interest,"History, Drama, War",$7.7M,Jonathan Glazer,93,78
1473,Wonka,"Kids & family, Musical, Comedy, Fantasy",$82.5M,Paul King,82,91
1474,Anatomy of a Fall,"Mystery & thriller, Crime, Drama",$4.9M,Justine Triet,96,9
1475,American Fiction,"Comedy, Drama",$20.6M,Cord Jefferson,93,96
1476,All of Us Strangers,"Romance, Drama, Fantasy",$4.0M,Andrew Haigh,96,91
1477,The Gentlemen,"Crime, Drama, Comedy",$36.5M,Guy Ritchie,75,84
1478,Code 8,Sci-fi,,Jeff Chan,81,62
1479,Anyone But You,"Romance, Comedy",$87.8M,Will Gluck,54,87
1480,Monster,"Drama, Mystery & thriller",$434.6K,Hirokazu Koreeda,96,91
1481,Napoleon,"Biography, History, Drama, War, Action",$61.2M,Ridley Scott,58,59
1482,The Holdovers,"Holiday, Comedy, Drama",$20.2M,Alexander Payne,97,92
1483,Killers of the Flower Moon,"Crime, Drama",$67.9M,Martin Scorsese,93,84
1484,The Beekeeper,"Action, Mystery & thriller",$64.9M,David Ayer,71,92
1485,Kung Fu Panda 3,"Kids & family, Comedy, Adventure, Animation",$143.5M,Jennifer Yuh Nelson,87,79
1486,Past Lives,"Romance, Drama",$9.9M,Celine Song,95,84
1487,Oppenheimer,"Biography, History, Drama",$329.1M,Christopher Nolan,93,91
1488,Aquaman and the Lost Kingdom,"Action, Adventure, Fantasy",$124.4M,James Wan,34,81
1489,Mean Girls,"Musical, Comedy",$72.4M,Samantha Jayne,7,62
1490,Out of Darkness,"Horror, Mystery & thriller",$1.9M,Andrew Cumming,85,54
1491,Code 8: Part II,"Action, Sci-fi",,Jeff Chan,67,64
1492,Five Nights at Freddy's,"Horror, Mystery & thriller",$137.3M,Emma Tammi,32,87
1493,Kung Fu Panda,"Kids & family, Comedy, Adventure, Animation",$143.5M,John Stevenson,87,83
1494,Rebel Moon: Part One - A Child of Fire,"Sci-fi, Action, Adventure, Drama, Fantasy",,Zack Snyder,21,58
1495,Leave the World Behind,"Mystery & thriller, Drama",,Sam Esmail,75,35
1496,Labyrinth,Fantasy,$12.1M,Jim Henson,77,86
1497,Maestro,"Biography, Drama, Romance, Music, Lgbtq+",,Bradley Cooper,79,58
1498,The Iron Claw,"Drama, Action, Biography, Sports",$34.7M,Sean Durkin,89,94
1499,The Promised Land,"History, Drama",$256.3K,Nikolaj Arcel,96,94
1500,Lisa Frankenstein,"Horror, Romance, Comedy",$9.7M,Zelda Williams,51,82
1501,Kung Fu Panda 2,"Kids & family, Comedy, Adventure, Animation",,Jennifer Yuh Nelson,81,74
